tmdb_id,title,media_type,poster_url,overview,release_date,vote_average
1416,Grey's Anatomy,tv,https://image.tmdb.org/t/p/w500/7jEVqXC14bhfAzSPgr896dMdDv6.jpg,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005-03-27,8.223
4614,NCIS,tv,https://image.tmdb.org/t/p/w500/mBcu8d6x6zB1el3MPNl7cZQEQ31.jpg,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",2003-09-23,7.6
70672,Men on a Mission,tv,https://image.tmdb.org/t/p/w500/2jIi55JtYKJTL1km8qHMuUilOWo.jpg,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.",2015-12-05,7.528
1399,Game of Thrones,tv,https://image.tmdb.org/t/p/w500/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",2011-04-17,8.456
279060,Chespirito: Not Really on Purpose,tv,https://image.tmdb.org/t/p/w500/mwsuIxLL84wfJGWhN7oOrFfpZ6d.jpg,"Miniseries that follow the life and career of Mexican actor, comedian and producer Roberto Gómez Bolaños, known for being the creator of El Chavo del 8, El Chapulín Colorado and Chespirito.",2025-06-05,7.9
4385,The Colbert Report,tv,https://image.tmdb.org/t/p/w500/pn2CVXjOlR8kY5MgOTJjZ71IM0Q.jpg,"The Colbert Report is an American satirical late night television program. It stars political humorist Stephen Colbert, a former correspondent for The Daily Show with Jon Stewart. The Colbert Report is a spin-off from and counterpart to The Daily Show that comments on politics and the media in a similar way. The show focuses on a fictional anchorman character named Stephen Colbert, played by his real-life namesake. The character, described by Colbert as a ""well-intentioned, poorly informed, high-status idiot"", is a caricature of televised political pundits.",2005-10-17,6.881
79744,The Rookie,tv,https://image.tmdb.org/t/p/w500/bL1mwXDnH5fCxqc4S2n40hoVyoe.jpg,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",2018-10-16,8.534
39297,Last Man Standing,tv,https://image.tmdb.org/t/p/w500/ofUvbcwxcA0E7qYUlhBx4gZmAzX.jpg,A married father of three tries to maintain his manliness in a world increasingly dominated by women.,2011-10-11,7.3
11366,Big Brother,tv,https://image.tmdb.org/t/p/w500/cx0YldpEMh1EBpwwdgY1Awcg6ty.jpg,"A British reality television game show in which a number of contestants live in an isolated house for several weeks, trying to avoid being evicted by the public with the aim of winning a large cash prize at the end of the run.",2000-07-18,4.274
2912,Jeopardy!,tv,https://image.tmdb.org/t/p/w500/11rWvQOEZBouD7wet0sWHwu7NDs.jpg,"America's favorite quiz show where contestants are presented with general knowledge clues in the form of answers, and must phrase their responses in question form.",1984-09-10,6.9
80885,Ninja Hattori-kun,tv,https://image.tmdb.org/t/p/w500/zVSx7lXxRKqXiQMgN6QNGgNyF5R.jpg,"11-year-old Kenichi Mitsuba is an average kid who goes to secondary school and struggles with his studies, he is very stubborn and is very lazy and therefore always ends up frustrating his parents and teacher. He loves to find an easy way of things. He befriends Hattori Kanzo, a ninja from the Iga Clan, and he becomes part of the Mitsuba family along with his brother, Shinzo and his ninja dog, Shishimaru. Hattori helps Kenichi with his problems, and constantly keeps an eye on him, as a good friend. The main antagonist Kemumaki, a Koga ninja and his ninja cat, Kagechiyo always troubles Kenichi, mainly because of their feud over one girl, Yumeko. Kenichi asks Hattori to take revenge as a recurring storyline in many episodes. Although Hattori is a good friend, Kenichi sometimes fights with Hattori due to misunderstandings created by Kemumaki. Sometimes Jippou, Togejirou and Tsubame help him.",1981-09-28,6.8
60572,Pokémon,tv,https://image.tmdb.org/t/p/w500/rOuGm07PxBhEsK9TaGPRQVJQm1X.jpg,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997-04-01,7.9
46825,Rooster Teeth Animated Adventures,tv,https://image.tmdb.org/t/p/w500/xrcOsjmuBcmf1YhqyQ6qrGCcsvE.jpg,The animated shenanigans of the Rooster Teeth staff. Audio taken from the Rooster Teeth Podcast.,2011-09-28,8.6
5092,Infinite Challenge,tv,https://image.tmdb.org/t/p/w500/3ZIPTvMnzI5ThmdGeEYQFxJV5Sg.jpg,"Infinite Challenge has been reported as the first ""Real-Variety"" show in Korean television history. The program is largely unscripted, and follows a similar format of challenge-based Reality Television programs, familiar to the audiences in the West, but the challenges are often silly, absurd, or impossible to achieve, so the program takes on the aspect of a satirical comedy variety show, rather than a more standard reality or contest program. In order to achieve its comedic purposes its 6 hosts and staff continuously proclaim, the elements of this show are the 3-Ds, Dirty, Dangerous, and Difficult.",2005-04-23,7.7
22073,Good Day Live,tv,,"Good Day Live was a nationwide talk show seen weekdays on FOX affiliates throughout the US.  Each FOX owned and operated station airs a separate Good Day program as part of its newscast. Some FOX stations air up to five hours on weekday mornings, up to three on weekend mornings, (and almost 50% of the programming on these stations contains a locally produced newscast of local news, traffic, national news, weather, sports, business, and public affairs.)",2001-09-17,3.0
82873,The Kelly Clarkson Show,tv,https://image.tmdb.org/t/p/w500/9Gg1oM8Us8gCS5aJA8e0ZRuIHnf.jpg,"Kelly Clarkson presents the biggest newsmakers and names in film, television and music; as well as emerging new talent and everyday people who are beacons of hope in their communities.",2019-09-09,6.5
70558,NPR Tiny Desk Concerts,tv,https://image.tmdb.org/t/p/w500/sJ6HdzajIVkC5G2kRROhNu8at43.jpg,"Intimate musical performances, recorded live at the desk of All Songs Considered host Bob Boilen.",2008-04-22,7.8
1622,Supernatural,tv,https://image.tmdb.org/t/p/w500/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005-09-13,8.299
30957,The Amazing Race,tv,https://image.tmdb.org/t/p/w500/x1jq0atcQg6UkaZpco0kFL6QHuM.jpg,"This reality competition sees teams embark on a trek around the world to amazing destinations where they must compete in a series of challenges, some mental and some physical. Only when the tasks are completed will they learn of their next location. Teams who are the farthest behind will gradually be eliminated as the contest progresses, with the first team to arrive at the final destination winning the race and the $1 million prize.",2001-09-05,6.9
30801,2 Days and 1 Night,tv,https://image.tmdb.org/t/p/w500/qezeCEkIKHQM5iwyVeYBuXmYA2h.jpg,"2 Days & 1 Night is a South Korean reality-variety show with the motto ""real wild road variety."" Its main concept is to recommend various places of interest that viewers can visit in South Korea.",2007-08-05,7.54
14658,Survivor,tv,https://image.tmdb.org/t/p/w500/1usR1nanbDvnc0LJlWd5TOylT9M.jpg,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000-05-31,7.3
17887,7de Laan,tv,https://image.tmdb.org/t/p/w500/vQcC4Kcx0ZEXxmj0gUrfkFR14LU.jpg,"7de Laan is an extraordinary microcosm where good and bad, evil and wholesome characters find themselves forming part of a wholesome community where no matter what – everyone counts and everyone cares…",2000-04-04,7.5
1966,Horizon,tv,https://image.tmdb.org/t/p/w500/uX8pic7asQBdnwMB9QjPvTsn1Dw.jpg,"Horizon tells amazing science stories, unravels mysteries and reveals worlds you've never seen before.",1964-02-04,7.516
78648,Amazing Saturday,tv,https://image.tmdb.org/t/p/w500/nEwybsfZBSPjcZamPpKDTaTI5g.jpg,"A group of hungry celebrities listen to poppin’ tunes, from recent hits to all-time-favorites, to correctly dictate a part of the lyrics.

The songs may sound familiar, but the part they must dictate are unclear to the naked ear, as the lyrics are slurred, muffled by strong beats, etc.

If they get the lyrics right, they get to share exquisite regional dishes. But if they get them wrong, a professional eater gobbles it up instead.",2018-04-07,7.6
60694,Last Week Tonight with John Oliver,tv,https://image.tmdb.org/t/p/w500/b12eM3FXNjN7yM7XYTIdmeQRud9.jpg,"A half-hour satirical look at the week in news, politics and current events.",2014-04-27,7.851
11890,"Goede Tijden, Slechte Tijden",tv,https://image.tmdb.org/t/p/w500/p1oXgtJ0q0wAcEp3tHA5DpiynxL.jpg,"Goede tijden, slechte tijden, also known as GTST, is the longest-running Dutch soap opera,  revolving around the lives of the families Alberts, Sanders, De Jong, Van Houten and Bouwhuis. It all takes place in the fictional town of Meerdijk.",1990-10-01,5.342
1871,EastEnders,tv,https://image.tmdb.org/t/p/w500/z4jgyI5TpoRZiJTNchkVkMrGQyz.jpg,"The everyday lives of working-class residents of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough.",1985-02-19,4.146
4496,Meet the Press,tv,https://image.tmdb.org/t/p/w500/lisjDmT2xTykSZxCNvd7E3gQ9AI.jpg,"Meet the Press is a weekly American television news/interview program airing on NBC. It is the longest-running television series in American broadcasting history, despite bearing little resemblance to the original format of the program seen in its television debut on November 6, 1947. Meet the Press is the highest-rated of the American television Sunday morning talk shows.

It has been hosted by 11 moderators, beginning with Martha Rountree.  Meet the Press and similar shows specialize in interviewing national leaders on issues of politics, economics, foreign policy and other public affairs.",1947-11-06,4.3
1434,Family Guy,tv,https://image.tmdb.org/t/p/w500/8o8kiBkWFK3gVytHdyzEWUBXVfK.jpg,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",1999-01-31,7.388
